DATETIME,DISCHARGE,POC,DOC ,DIC
2016-04-01 00:00:00,52,,,
2016-04-02 00:00:00,45,,,
2016-04-03 00:00:00,41,,,
2016-04-04 00:00:00,35,,,
2016-04-05 00:00:00,34,,,
2016-04-06 00:00:00,50,,,
2016-04-07 00:00:00,39,,,
2016-04-08 00:00:00,36,,,
2016-04-09 00:00:00,31,,,
2016-04-10 00:00:00,31,,,
2016-04-11 00:00:00,29,,,
2016-04-12 00:00:00,26,,,
2016-04-13 00:00:00,24,,,
2016-04-14 00:00:00,24,,,
2016-04-15 00:00:00,23,,,
2016-04-16 00:00:00,22,,,
2016-04-17 00:00:00,22,,,
2016-04-18 00:00:00,20,,,
2016-04-19 00:00:00,21,,,
2016-04-20 00:00:00,22,,,
2016-04-21 00:00:00,21,,,
2016-04-22 00:00:00,20,,,
2016-04-23 00:00:00,18,,,
2016-04-24 00:00:00,18,0.587714286,3.12,77.42
2016-04-25 00:00:00,19,,,
2016-04-26 00:00:00,18,,,
2016-04-27 00:00:00,18,,,
2016-04-28 00:00:00,26,,,
2016-04-29 00:00:00,24,,,
2016-04-30 00:00:00,26,,,
2016-05-01 00:00:00,38,,,
2016-05-02 00:00:00,28,,,
2016-05-03 00:00:00,28,,,
2016-05-04 00:00:00,28,,,
2016-05-05 00:00:00,24,,,
2016-05-06 00:00:00,22,,,
2016-05-07 00:00:00,21,,,
2016-05-08 00:00:00,19,,,
2016-05-09 00:00:00,18,,,
2016-05-10 00:00:00,33,,,
2016-05-11 00:00:00,33,,,
2016-05-12 00:00:00,44,,,
2016-05-13 00:00:00,35,,,
2016-05-14 00:00:00,33,,,
2016-05-15 00:00:00,29,1.797714286,6.5,68.25
2016-05-16 00:00:00,27,,,
2016-05-17 00:00:00,25,,,
2016-05-18 00:00:00,22,,,
2016-05-19 00:00:00,20,,,
2016-05-20 00:00:00,20,,,
2016-05-21 00:00:00,19,,,
2016-05-22 00:00:00,18,,,
2016-05-23 00:00:00,18,,,
2016-05-24 00:00:00,18,,,
2016-05-25 00:00:00,18,,,
2016-05-26 00:00:00,18,,,
2016-05-27 00:00:00,22,,,
2016-05-28 00:00:00,28,,,
2016-05-29 00:00:00,31,,,
2016-05-30 00:00:00,34,,,
2016-05-31 00:00:00,25,,,
2016-06-01 00:00:00,31,,,
2016-06-02 00:00:00,23,,,
2016-06-03 00:00:00,22,2.527555556,6.55,77.83
2016-06-04 00:00:00,22,,,
2016-06-05 00:00:00,20,,,
2016-06-06 00:00:00,21,,,
2016-06-07 00:00:00,19,,,
2016-06-08 00:00:00,19,0.322666667,6.6,80.96
2016-06-09 00:00:00,20,,,
2016-06-10 00:00:00,24,,,
2016-06-11 00:00:00,25,,,
2016-06-12 00:00:00,23,,,
2016-06-13 00:00:00,22,,,
2016-06-14 00:00:00,19,,,
2016-06-15 00:00:00,42,1.694,6.36,34
2016-06-16 00:00:00,19,,,
2016-06-17 00:00:00,19,,,
2016-06-18 00:00:00,19,,,
2016-06-19 00:00:00,17,,,
2016-06-20 00:00:00,18,,,
2016-06-21 00:00:00,17,0.821333333,9.06,73.57
2016-06-22 00:00:00,15,,,
2016-06-23 00:00:00,13,,,
2016-06-24 00:00:00,17,,,
2016-06-25 00:00:00,18,,,
2016-06-26 00:00:00,50,,,
2016-06-27 00:00:00,25,,,
2016-06-28 00:00:00,20,,,
2016-06-29 00:00:00,21,0.56115942,6.35,73.79
2016-06-30 00:00:00,21,,,
2016-07-01 00:00:00,21,,,
2016-07-02 00:00:00,19,,,
2016-07-03 00:00:00,18,,,
2016-07-04 00:00:00,18,,,
2016-07-05 00:00:00,17,,,
2016-07-06 00:00:00,19,,,
2016-07-07 00:00:00,19,,,
2016-07-08 00:00:00,19,0.457111111,5.39,61.25
2016-07-09 00:00:00,19,,,
2016-07-10 00:00:00,19,,,
2016-07-11 00:00:00,19,,,
2016-07-12 00:00:00,18,,,
2016-07-13 00:00:00,17,1.378666667,5.32,81.1
2016-07-14 00:00:00,16,,,
2016-07-15 00:00:00,16,,,
2016-07-16 00:00:00,16,,,
2016-07-17 00:00:00,17,,,
2016-07-18 00:00:00,17,,,
2016-07-19 00:00:00,16,,,
2016-07-20 00:00:00,16,1.102444444,4.28,81.12
2016-07-21 00:00:00,24,,,
2016-07-22 00:00:00,89,,,
2016-07-23 00:00:00,43,,,
2016-07-24 00:00:00,62,,,
2016-07-25 00:00:00,38,,,
2016-07-26 00:00:00,26,,,
2016-07-27 00:00:00,19,0.699111111,10.36,62.54
2016-07-28 00:00:00,19,,,
2016-07-29 00:00:00,29,,,
2016-07-30 00:00:00,24,,,
2016-07-31 00:00:00,22,,,
2016-08-01 00:00:00,21,1.344444444,7.51,74.81
2016-08-02 00:00:00,20,,,
2016-08-03 00:00:00,17,,,
2016-08-04 00:00:00,17,,,
2016-08-05 00:00:00,52,,,
2016-08-06 00:00:00,29,,,
2016-08-07 00:00:00,22,,,
2016-08-08 00:00:00,21,,,
2016-08-09 00:00:00,20,,,
2016-08-10 00:00:00,19,0.349555556,5.9,76.36
2016-08-11 00:00:00,19,,,
2016-08-12 00:00:00,20,,,
2016-08-13 00:00:00,22,,,
2016-08-14 00:00:00,20,,,
2016-08-15 00:00:00,20,,,
2016-08-16 00:00:00,20,,,
2016-08-17 00:00:00,22,,,
2016-08-18 00:00:00,21,0.107555556,6.04,70.04
2016-08-19 00:00:00,22,,,
2016-08-20 00:00:00,27,,,
2016-08-21 00:00:00,28,,,
2016-08-22 00:00:00,30,2.489142857,6.34,73.45
2016-08-23 00:00:00,27,,,
2016-08-24 00:00:00,26,,,
2016-08-25 00:00:00,25,,,
2016-08-26 00:00:00,24,,,
2016-08-27 00:00:00,37,,,
2016-08-28 00:00:00,39,,,
2016-08-29 00:00:00,29,0.510888889,6.42,69.58
2016-08-30 00:00:00,27,,,
2016-08-31 00:00:00,24,,,
2016-09-01 00:00:00,18,,,
2016-09-02 00:00:00,22,,,
2016-09-03 00:00:00,21,,,
2016-09-04 00:00:00,20,,,
2016-09-05 00:00:00,20,,,
2016-09-06 00:00:00,20,,,
2016-09-07 00:00:00,59,,,
2016-09-08 00:00:00,81,,,
2016-09-09 00:00:00,29,0.699111111,0,0
2016-09-10 00:00:00,29,,,
2016-09-11 00:00:00,26,,,
2016-09-12 00:00:00,24,,,
2016-09-13 00:00:00,24,,,
2016-09-14 00:00:00,23,,,
2016-09-15 00:00:00,22,,,
2016-09-16 00:00:00,24,,,
2016-09-17 00:00:00,22,,,
2016-09-18 00:00:00,22,,,
2016-09-19 00:00:00,22,,,
2016-09-20 00:00:00,25,,,
2016-09-21 00:00:00,45,,,
2016-09-22 00:00:00,133,,,
2016-09-23 00:00:00,63,,,
2016-09-24 00:00:00,43,,,
2016-09-25 00:00:00,41,,,
2016-09-26 00:00:00,4,,,
2016-09-27 00:00:00,31,,,
2016-09-28 00:00:00,30,,,
2016-09-29 00:00:00,28,,,
2016-09-30 00:00:00,26,,,
2016-10-01 00:00:00,25,,,
2016-10-02 00:00:00,"	22",,,
2016-10-03 00:00:00,"	21",,,
2016-10-04 00:00:00,"	22",,,
2016-10-05 00:00:00,"	20",,,
2016-10-06 00:00:00,"	19",,,
2016-10-07 00:00:00,"	23",,,
2016-10-08 00:00:00,"	20",,,
2016-10-09 00:00:00,"	18",,,
2016-10-10 00:00:00,"	19",,,
2016-10-11 00:00:00,"	21",,,
2016-10-12 00:00:00,"	23",,,
2016-10-13 00:00:00,"	22",,,
2016-10-14 00:00:00,"	19",,,
2016-10-15 00:00:00,"	21",,,
2016-10-16 00:00:00,"	29",,,
2016-10-17 00:00:00,"	25",,,
2016-10-18 00:00:00,"	23",,,
2016-10-19 00:00:00,"	22",,,
2016-10-20 00:00:00,"	21",,,
2016-10-21 00:00:00,"	21",,,
2016-10-22 00:00:00,"	21",,,
2016-10-23 00:00:00,"	20",,,
2016-10-24 00:00:00,"	19",,,
2016-10-25 00:00:00,"	19",,,
2016-10-26 00:00:00,"	14",,,
2016-10-27 00:00:00,"	10",,,
2016-10-28 00:00:00,"	49",,,
2016-10-29 00:00:00,"	46",,,
2016-10-30 00:00:00,"	42",,,
2016-10-31 00:00:00,63,,,
2016-11-01 00:00:00,59,,,
2016-11-02 00:00:00,53,,,
2016-11-03 00:00:00,49,,,
2016-11-04 00:00:00,46,,,
2016-11-05 00:00:00,45,,,
2016-11-06 00:00:00,43,,,
2016-11-07 00:00:00,41,,,
2016-11-08 00:00:00,38,,,
2016-11-09 00:00:00,37,,,
2016-11-10 00:00:00,35,,,
2016-11-11 00:00:00,34,,,
2016-11-12 00:00:00,33,,,
2016-11-13 00:00:00,33,,,
2016-11-14 00:00:00,31,,,
2016-11-15 00:00:00,31,,,
